Term,UnitsName,UnitsTypeCV,UnitsAbbreviation,UnitsLink
megavolt-Ampere,Megavolt-ampere,Power,MVA,
megawatt,Megawatt,Power,MW,
planckPower,Planck Power,Power,,http://qudt.org/vocab/unit#PlanckPower
tonOfRefrigeration,Ton of Refrigeration,Power,t/fg,http://qudt.org/vocab/unit#TonOfRefrigeration; http://www.unidata.ucar.edu/software/udunits/
volt-Ampere,Volt-ampere,Power,VA,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
watt,Watt,Power,W,http://qudt.org/vocab/unit#Watt; http://unitsofmeasure.org/ucum.html#para-30;http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
wattSquareMeter,Watt Square Meter,Power area,W m^2,http://qudt.org/vocab/unit#WattSquareMeter
wattSquareMeterPerSteradian,Watt Square Meter per Steradian,Power area per solid angle,W m^2 sr^-1,http://qudt.org/vocab/unit#WattSquareMeterPerSteradian
btuPerHourSquareFoot,Btu per Hour Square Foot,Power per area,,http://qudt.org/vocab/unit#BtuPerHourSquareFoot
btuPerSecondSquareFoot,Btu per Second Square Foot,Power per area,Btu/(s-ft^2),http://qudt.org/vocab/unit#BtuPerSecondSquareFoot
caloriePerSquareCentimeterPerDay,Calorie per Square Centimeter per Day,Power per area,cal/cm^2 d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
caloriePerSquareCentimeterPerMinute,Calorie per Square Centimeter per Minute,Power per area,cal/cm^2 min,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
ergPerSquareCentimeterSecond,Erg per Square Centimeter Second,Power per area,erg/(cm^2-s),http://qudt.org/vocab/unit#ErgPerSquareCentimeterSecond
footPoundForcePerSquareFootSecond,Foot Pound Force per Square Foot Second,Power per area,ft-lbf(ft^2-s),http://qudt.org/vocab/unit#FootPoundForcePerSquareFootSecond
kilocaloriePerSquareCentimeterMinute,Kilocalorie per Square Centimeter Minute,Power per area,kcal/(cm^2-min),http://qudt.org/vocab/unit#KilocaloriePerSquareCentimeterMinute
kilocaloriePerSquareCentimeterSecond,Kilocalorie per Square Centimeter Second,Power per area,kcal/(cm^2-s),http://qudt.org/vocab/unit#KilocaloriePerSquareCentimeterSecond
kilowattPerSquareMeter,Kilowatt per Square Meter,Power per area,kW/m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerDay,Langley per Day,Power per area,Ly/d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerHour,Langley per Hour,Power per area,Ly/hr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerMinute,Langley per Minute,Power per area,Ly/min,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
langleyPerSecond,Langley per Second,Power per area,Ly/s,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
megajoulePerSquareMeterPerDay,Megajoule per Square Meter per Day,Power per area,MJ/m^2 d,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
planckIntensity,Planck Intensity,Power per area,,
wattPerSquareCentimeter,Watt per Square Centimeter,Power per area,W/cm^2,http://qudt.org/vocab/unit#WattPerSquareCentimeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
wattPerSquareFoot,Watt per Square Foot,Power per area,W/ft^2,http://qudt.org/vocab/unit#WattPerSquareFoot
wattPerSquareInch,Watt per Square Inch,Power per area,W/in^2,http://qudt.org/vocab/unit#WattPerSquareInch
wattPerSquareMeter,Watt per Square Meter,Power per area,W/m^2,http://qudt.org/vocab/unit#WattPerSquareMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
wattPerSquareMeterQuarticKelvin,Watt per Square Meter Quartic Kelvin,Power per area quartic temperature,W m^-2 K^-4,http://qudt.org/vocab/unit#WattPerSquareMeterQuarticKelvin
voltPerSecond,Volt per Second,Power per electrical charge,V / sec,http://qudt.org/vocab/unit#VoltPerSecond
atmosphere,Atmosphere,Pressure or stress,,http://www.unidata.ucar.edu/software/udunits/
bar,Bar,Pressure or stress,bar,http://qudt.org/vocab/unit#Bar
barie,Barie,Pressure or stress,barie,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
centimeterOfMercury,Centimeter of Mercury,Pressure or stress,cm Hg,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
centimeterOfWater,Centimeter of Water,Pressure or stress,cmH2O,http://qudt.org/vocab/unit#CentimeterOfWater; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
decibar,Decibar,Pressure or stress,dbar,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
dynePerSquareCentimeter,Dyne per Square Centimeter,Pressure or stress,dyn/cm^2,http://qudt.org/vocab/unit#DynePerSquareCentimeter
footOfWater,Foot of Water,Pressure or stress,ftH2O,http://qudt.org/vocab/unit#FootOfWater; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
hectopascal,Hectopascal,Pressure or stress,hPa,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
inchOfMercury,Inch of Mercury,Pressure or stress,in_i'Hg,http://qudt.org/vocab/unit#InchOfMercury; http://unitsofmeasure.org/ucum.html#para-44; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
inchOfMercury(60F),Inch of Mercury (60F),Pressure or stress,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
inchOfWater,Inch of Water,Pressure or stress,in_i'H2O,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-44; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
inchOfWater(60F),Inch of Water (60F),Pressure or stress,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
kilogramForcePerSquareCentimeter,Kilogram Force per Square Centimeter,Pressure or stress,kgf/cm^2,http://qudt.org/vocab/unit#KilogramForcePerSquareCentimeter
kilopascal,Kilopascal,Pressure or stress,KPa,http://qudt.org/vocab/unit#KiloPascal; http://qudt.org/vocab/unit#KiloPascalAbsolute; http://qwwebservices.usgs.gov/service-domains.html
kipPerSquareInch,Kip per Square Inch,Pressure or stress,kip/in^2,http://qudt.org/vocab/unit#KipPerSquareInch
ksi,ksi,Pressure or stress,,http://www.unidata.ucar.edu/software/udunits/
megapascal,Megapascal,Pressure or stress,MPa,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
meterOfMercury,Meter of Mercury,Pressure or stress,mHg,http://unitsofmeasure.org/ucum.html#para-44
meterOfWater,Meter of Water,Pressure or stress,m H2O; mH2O,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-44
microtorr,Microtorr,Pressure or stress,µtorr,http://qudt.org/vocab/unit#MicroTorr
millibar,Millibar,Pressure or stress,mbar,http://qudt.org/vocab/unit#Millibar; http://qwwebservices.usgs.gov/service-domains.html
millimeterOfMercury,Millimeter of Mercury,Pressure or stress,mmHg,http://qudt.org/vocab/unit#MillimeterOfMercury; http://qudt.org/vocab/unit#MillimeterOfMercuryAbsolute; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://qwwebservices.usgs.gov/service-domains.html
millimeterOfWater,Millimeter of Water,Pressure or stress,mm H2O,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millitorr,Millitorr,Pressure or stress,utorr,http://qudt.org/vocab/unit#MilliTorr
newtonPerSquareMeter,Newton per Square Meter,Pressure or stress,Newton/m^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
pascal,Pascal,Pressure or stress,Pa,http://qudt.org/vocab/unit#Pascal; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
planckPressure,Planck Pressure,Pressure or stress,,http://qudt.org/vocab/unit#PlanckPressure
poundalPerSquareFoot,Poundal per Square Foot,Pressure or stress,pdl/ft^2,http://qudt.org/vocab/unit#PoundalPerSquareFoot
poundForcePerSquareFoot,Pound Force per Square Foot,Pressure or stress,lbf/ft^2,http://qudt.org/vocab/unit#PoundForcePerSquareFoot
poundForcePerSquareInch,Pound Force per Square Inch,Pressure or stress,psi,http://qudt.org/vocab/unit#PoundForcePerSquareInch; http://unitsofmeasure.org/ucum.html#para-47
psi,psi,Pressure or stress,psi,http://www.unidata.ucar.edu/software/udunits/
standardAtmosphere,Standard Atmosphere,Pressure or stress,atm,http://qudt.org/vocab/unit#AtmosphereStandard; http://unitsofmeasure.org/ucum.html#para-32
technicalAtmosphere,Technical Atmosphere,Pressure or stress,at,http://qudt.org/vocab/unit#AtmosphereTechnical; http://unitsofmeasure.org/ucum.html#para-47; http://www.unidata.ucar.edu/software/udunits/
torr,Torr,Pressure or stress,torr,http://qudt.org/vocab/unit#Torr; http://www.unidata.ucar.edu/software/udunits/
pascalPerSecond,Pascal per Second,Pressure or stress rate,P / s,http://qudt.org/vocab/unit#PascalPerSecond
pascalPerHour,Pascal per Hour,Pressure or stress rate,P / hr,http://qudt.org/vocab/unit#PascalPerHour
pascalPerMinute,Pascal per Minute,Pressure or stress rate,P / min,http://qudt.org/vocab/unit#PascalPerMinute
poundForcePerSquareInchSecond,Pound Force per Square Inch Second,Pressure or stress rate,lbf / in^2-s,http://qudt.org/vocab/unit#PoundForcePerSquareInchSecond
quarticCoulombMeterPerCubicEnergy,Quartic Coulomb Meter per Cubic Energy,Quartic electrical dipole moment per cubic energy,C^4 m^4 J^-3,http://qudt.org/vocab/unit#QuarticCoulombMeterPerCubicEnergy
wattPerSquareMeterSteradian,Watt per Square Meter Steradian,Radiance,W/(m^2-sr),http://qudt.org/vocab/unit#WattPerSquareMeterSteradian
wattPerSteradian,Watt per Steradian,Radiant intensity,W sr^-1,http://qudt.org/vocab/unit#WattPerSteradian
curie,Curie,Radioactivity,Ci,http://qudt.org/vocab/unit#Curie
becquerel,Becquerel,Radioactivity,Bq,http://qudt.org/vocab/unit#Becquerel
picocurie,Picocurie,Radioactivity,pCi,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
picocuriePerLiter,Picocurie per Liter,Radioactivity per volume,pCi/L,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
becquerelPerLiter,Becquerel per Liter,Radioactivity per volume,Bq/L,http://environment.data.gov.au/def/unit/BecquerelPerLitre
disintegrationPerMinutePerLiter,Disintegration per Minute per Liter,Radioactivity per volume,dpm/l,http://qwwebservices.usgs.gov/service-domains.html
millibecquerelPerLiter,Millibecquerel per Liter,Radioactivity per volume,mBq/L,http://environment.data.gov.au/def/unit/MilliBecquerelPerLitre
picocuriePerMilliliter,Picocurie per Milliliter,Radioactivity per volume,pCi/ml,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
practicalSalinityScale,Practical Salinity Scale,Salinity,pss,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
practicalSalinityUnit,Practical Salinity Unit,Salinity,PSU,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/PSU
meterPerPixel,Meter per Pixel,Satellite resolution,meters per pixel,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
meterPerQuarticSecond,Meter per Quartic Second,Snap,m/s^4,
squareDegree,Square Degree,Solid angle,deg^2,http://qudt.org/vocab/unit#SquareDegree
fractionalArea,Fractional Area,Solid angle,fa,http://qudt.org/vocab/unit#FractionalArea
sphere,Sphere,Solid angle,sph,http://unitsofmeasure.org/ucum.html#para-47
steradian,Steradian,Solid angle,sr,http://qudt.org/vocab/unit#Steradian; http://unitsofmeasure.org/ucum.html#para-30; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
meterSquaredPerSecondSquared,Meter Squared per Second Squared,Specific energy,m^2/s^2,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
btuPerPound,Btu per Pound,Specific energy,Btu/lb,http://qudt.org/vocab/unit#BtuPerPound
ergPerGram,Erg per Gram,Specific energy,,http://qudt.org/vocab/unit#ErgPerGram
geopotential,Geopotential,Specific energy,,http://www.unidata.ucar.edu/software/udunits/
joulePerKilogram,Joule per Kilogram,Specific energy,J/kg,http://qudt.org/vocab/unit#JoulePerKilogram
kilocaloriePerGram,Kilocalorie per Gram,Specific energy,kcal/gm,http://qudt.org/vocab/unit#KilocaloriePerGram
btuPerPoundDegreeFahrenheit,Btu per Pound Degree Fahrenheit,Specific heat capacity,Btu/(lb-degF),http://qudt.org/vocab/unit#BtuPerPoundDegreeFahrenheit
btuPerPoundDegreeRankine,Btu per Pound Degree Rankine,Specific heat capacity,Btu/(lb-degR),http://qudt.org/vocab/unit#BtuPerPoundDegreeRankine
caloriePerGramDegreeCelsius,Calorie per Gram Degree Celsius,Specific heat capacity,kcal/(gm-degC),http://qudt.org/vocab/unit#KilocaloriePerGramDegreeCelsius
joulePerKilogramKelvin,Joule per Kilogram Kelvin,Specific heat capacity,J/(kg-K),http://qudt.org/vocab/unit#JoulePerKilogramKelvin
joulePerKilogramKelvinPerPascal,Joule per Kilogram Kelvin per Pascal,Specific heat pressure,,http://qudt.org/vocab/unit#JoulePerKilogramKelvinPerPascal
joulePerKilogramKelvinPerCubicMeter,Joule per Kilogram Kelvin per Cubic Meter,Specific heat volume,,http://qudt.org/vocab/unit#JoulePerKilogramKelvinPerCubicMeter
picocuriePerGram,Picocurie per Gram,Specific radioactivity,pCi/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
becquerelPerGram,Becquerel per Gram,Specific radioactivity,Bq/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
disintegrationPerMinutePerGram,Disintegration per Minute per Gram,Specific radioactivity,dpm/g,http://qwwebservices.usgs.gov/service-domains.html
squareMeterPerGram,Square Meter per Gram,Specific surface area,m^2/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
cubicMeterPerKilogram,Cubic Meter per Kilogram,Specific volume,m^3/kg,http://qudt.org/vocab/unit#CubicMeterPerKilogram
cubicCentimeterPerGram,Cubic Centimeter per Gram,Specific volume,cm^3/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milliliterPerGram,Milliliter per Gram,Specific volume,ml/g,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
perTrillionVersusPeeDeeBelemnite,Per Trillion versus Pee Dee Belemnite,Stable isotope delta,pptPDB,http://environment.data.gov.au/def/unit/PerTrillion_PDB
perMilVersusPeeDeeBelemnite,Per Mil versus Pee Dee Belemnite,Stable isotope delta,‰PDB,
perMilVersusStandardMeanOceanWater,Per Mil versus Standard Mean Ocean Water,Stable isotope delta,‰SMOW,
perMilVersusviennaCanyonDiabloTroilite,Per Mil versusVienna Canyon Diablo Troilite,Stable isotope delta,‰VCDT,
perMilVersusViennaPeeDeeBelemnite,Per Mil versus Vienna Pee Dee Belemnite,Stable isotope delta,‰VPDB,
perMilVersusViennaStandardMeanOceanWater,Per Mil versus Vienna Standard Mean Ocean Water,Stable isotope delta,‰VSMOW,
perTrillionVersusStandardMeanOceanWater,Per Trillion versus Standard Mean Ocean Water,Stable isotope delta,pptSMOW,http://environment.data.gov.au/def/unit/PerTrillion_SMOW
cubicKilometerPerSecondSquared,Cubic Kilometer per Second Squared,Standard gravitational parameter,km^3/s^2,http://qudt.org/vocab/unit#CubicKilometerPerSecondSquared
cubicMeterPerSecondSquared,Cubic Meter per Second Squared,Standard gravitational parameter,m^3/s^2,http://qudt.org/vocab/unit#CubicMeterPerSecondSquared
kelvin,Kelvin,Temperature,K,http://qudt.org/vocab/unit#Kelvin; http://unitsofmeasure.org/ucum.html#para-28; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-base.xml
degreeCelsius,Degree Celsius,Temperature,degC; Cel,http://qudt.org/vocab/unit#DegreeCelsius; http://unitsofmeasure.org/ucum.html#para-30; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
degreeCentigrade,Degree Centigrade,Temperature,DegC,http://qudt.org/vocab/unit#DegreeCentigrade
degreeFahrenheit,Degree Fahrenheit,Temperature,degF,http://qudt.org/vocab/unit#DegreeFahrenheit; http://unitsofmeasure.org/ucum.html#para-43; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
degreeRankine,Degree Rankine,Temperature,degR,http://qudt.org/vocab/unit#DegreeRankine
planckTemperature,Planck Temperature,Temperature,,http://qudt.org/vocab/unit#PlanckTemperature
moleDegreeCelsius,Mole Degree Celsius,Temperature count,mol-degC,http://qudt.org/vocab/unit#MoleDegreeCelsius
moleKelvin,Mole Kelvin,Temperature count,mol-K,http://qudt.org/vocab/unit#MoleKelvin
kelvinPerTesla,Kelvin per Tesla,Temperature per magnetic flux density,K T^-1,http://qudt.org/vocab/unit#KelvinPerTesla
degreeRankinePerSecond,Degree Rankine per Second,Temperature per time,degR / s,http://qudt.org/vocab/unit#DegreeRankinePerSecond
kelvinPerHour,Kelvin per Hour,Temperature per time,K / h,http://qudt.org/vocab/unit#KelvinPerHour
kelvinPerMinute,Kelvin per Minute,Temperature per time,K / m,http://qudt.org/vocab/unit#KelvinPerMinute
kelvinPerSecond,Kelvin per Second,Temperature per time,K / s,http://qudt.org/vocab/unit#KelvinPerSecond
degreeCelsiusPerHour,Degree Celsius per Hour,Temperature per time,degC / hr,http://qudt.org/vocab/unit#DegreeCelsiusPerHour
degreeCelsiusPerMinute,Degree Celsius per Minute,Temperature per time,degC / m,http://qudt.org/vocab/unit#DegreeCelsiusPerMinute
degreeCelsiusPerSecond,Degree Celsius per Second,Temperature per time,degC / s,http://qudt.org/vocab/unit#DegreeCelsiusPerSecond
degreeFahrenheitPerHour,Degree Fahrenheit per Hour,Temperature per time,degF / h,http://qudt.org/vocab/unit#DegreeFahrenheitPerHour
degreeFahrenheitPerMinute,Degree Fahrenheit per Minute,Temperature per time,degF / m,http://qudt.org/vocab/unit#DegreeFahrenheitPerMinute
degreeFahrenheitPerSecond,Degree Fahrenheit per Second,Temperature per time,degF / s,http://qudt.org/vocab/unit#DegreeFahrenheitPerSecond
degreeRankinePerHour,Degree Rankine per Hour,Temperature per time,degR / h,http://qudt.org/vocab/unit#DegreeRankinePerHour
degreeRankinePerMinute,Degree Rankine per Minute,Temperature per time,degR / m,http://qudt.org/vocab/unit#DegreeRankinePerMinute
btuFootPerSquareFootHourDegreeFahrenheit,Btu Foot per Square Foot Hour Degree Fahrenheit,Thermal conductivity,Btu-ft/(hr-ft^2-degF),http://qudt.org/vocab/unit#BtuFootPerSquareFootHourDegreeFahrenheit
wattPerMeterKelvin,Watt per Meter Kelvin,Thermal conductivity,W/(m*K),http://qudt.org/vocab/unit#WattPerMeterKelvin
caloriePerCentimeterSecondDegreeCelsius,Calorie per Centimeter Second Degree Celsius,Thermal conductivity,cal/(cm-s-degC),http://qudt.org/vocab/unit#KilocaloriePerCentimeterSecondDegreeCelsius
btuInchPerSquareFootSecondDegreeFahrenheit,Btu Inch per Square Foot Second Degree Fahrenheit,Thermal conductivity,Btu-in/(ft^2-s-degF),http://qudt.org/vocab/unit#BtuInchPerSquareFootSecondDegreeFahrenheit
btuInchPerSquareFootHourDegreeFahrenheit,Btu Inch per Square Foot Hour Degree Fahrenheit,Thermal conductivity,Btu-in/(hr-ft^2-degF),http://qudt.org/vocab/unit#BtuInchPerSquareFootHourDegreeFahrenheit
squareMeterKelvinPerWatt,Square Meter Kelvin per Watt,Thermal insulance,(K^2)m/W,http://qudt.org/vocab/unit#SquareMeterKelvinPerWatt
clo,Clo,Thermal insulance,clo,http://qudt.org/vocab/unit#Clo
squareFootHourDegreeFahrenheitPerBtu,Square Foot Hour Degree Fahrenheit per Btu,Thermal insulance,(degF-hr-ft^2)/Btu,http://qudt.org/vocab/unit#SquareFootHourDegreeFahrenheitPerBtu
kelvinPerWatt,Kelvin per Watt,Thermal resistance,K/W,http://qudt.org/vocab/unit#KelvinPerWatt
degreeFahrenheitHourPerBtu,Degree Fahrenheit Hour per Btu,Thermal resistance,degF-hr/Btu,http://qudt.org/vocab/unit#DegreeFahrenheitHourPerBtu
meterKelvinPerWatt,Meter Kelvin per Watt,Thermal resistivity,K-m/W,http://qudt.org/vocab/unit#MeterKelvinPerWatt
poundForcePerPound,Pound Force per Pound,Thrust to mass ratio,lbf/lb,http://qudt.org/vocab/unit#PoundForcePerPound
newtonPerKilogram,Newton per Kilogram,Thrust to mass ratio,N/kg,http://qudt.org/vocab/unit#NewtonPerKilogram
siderealYear,Sidereal Year,Time,,http://qudt.org/vocab/unit#YearSidereal; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
svedbergUnit,Svedberg Unit,Time,S,http://unitsofmeasure.org/ucum.html#para-45
synodalMonth,Synodal Month,Time,mo_s,http://unitsofmeasure.org/ucum.html#para-31
tropicalMonth,Tropical Month,Time,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
tropicalYear,Tropical Year,Time,a_t,http://qudt.org/vocab/unit#YearTropical; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
week,Week,Time,week; wk,http://unitsofmeasure.org/ucum.html#para-31; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
workMonth,Work Month,Time,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
workYear,Work Year,Time,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
year,Year,Time,a,http://unitsofmeasure.org/ucum.html#para-31
yearDay(Julian),Year Day (Julian),Time,yyddd,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
commonYear,Common Year,Time,yr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
day,Day,Time,d,http://qudt.org/vocab/unit#Day; http://qwwebservices.usgs.gov/service-domains.html
eon,Eon,Time,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
fortnight,Fortnight,Time,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
gregorianMonth,Gregorian Month,Time,mo_g,http://unitsofmeasure.org/ucum.html#para-31
gregorianYear,Gregorian Year,Time,a_g,http://unitsofmeasure.org/ucum.html#para-31; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
hour,Hour,Time,hr,http://qudt.org/vocab/unit#Hour; http://unitsofmeasure.org/ucum.html#para-31
jiffy,Jiffy,Time,,http://www.unidata.ucar.edu/software/udunits/
julianMonth,Julian Month,Time,mo_j,http://unitsofmeasure.org/ucum.html#para-31
julianYear,Julian Year,Time,a_j,http://unitsofmeasure.org/ucum.html#para-31; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
leapYear,Leap Year,Time,leap yr,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
lunarMonth,Lunar Month,Time,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
microsecond,Microsecond,Time,microsec,http://qudt.org/vocab/unit#MicroSecond
millisecond,Millisecond,Time,ms,http://qudt.org/vocab/unit#MilliSecond
minute,Minute,Time,min,http://qudt.org/vocab/unit#MinuteTime; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/; http://unitsofmeasure.org/ucum.html#para-31; http://qwwebservices.usgs.gov/service-domains.html
month,Month,Time,mo,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/; http://unitsofmeasure.org/ucum.html#para-31
planckTime,Planck Time,Time,,http://qudt.org/vocab/unit#PlanckTime
second,Second,Time,s,http://qudt.org/vocab/unit#SecondTime; http://unitsofmeasure.org/ucum.html#para-28; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-base.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
shake,Shake,Time,Sh,http://qudt.org/vocab/unit#Shake; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
siderealDay,Sidereal Day,Time,d,http://qudt.org/vocab/unit#DaySidereal; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
siderealHour,Sidereal Hour,Time,hr,http://qudt.org/vocab/unit#HourSidereal; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
siderealMinute,Sidereal Minute,Time,min,http://qudt.org/vocab/unit#MinuteSidereal; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
siderealMonth,Sidereal Month,Time,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
siderealSecond,Sidereal Second,Time,,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
secondSquared,Second Squared,Time squared,s^2,http://qudt.org/vocab/unit#SecondTimeSquared
dyneCentimeter,Dyne Centimeter,Torque,dyn-cm,http://qudt.org/vocab/unit#DyneCentimeter
kilogramForceMeter,Kilogram Force Meter,Torque,kgf-m,http://qudt.org/vocab/unit#KilogramForceMeter
newtonMeter,Newton Meter,Torque,N-m,http://qudt.org/vocab/unit#NewtonMeter
ounceForceInch,Ounce Force Inch,Torque,ozf-in,http://qudt.org/vocab/unit#OunceForceInch
poundForceFoot,Pound Force Foot,Torque,lbf-ft,http://qudt.org/vocab/unit#PoundForceFoot
